Date,Site,Probe_meter,Reach_Lenght_m,Slug_type,Addition_Time,Time_hms,NaCl_added_g,Times_s,SpC_uScm,Backg_SpC_uScm,NaCl_conc_mgL
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:56:05,6000,305,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:56:10,6000,310,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:56:15,6000,315,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:56:20,6000,320,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:56:25,6000,325,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:56:30,6000,330,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:56:35,6000,335,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:56:40,6000,340,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:56:45,6000,345,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:56:50,6000,350,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:56:55,6000,355,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:57:00,6000,360,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:57:05,6000,365,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:57:10,6000,370,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:57:15,6000,375,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:57:20,6000,380,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:57:25,6000,385,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:57:30,6000,390,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:57:35,6000,395,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:57:40,6000,400,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:57:45,6000,405,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:57:50,6000,410,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:57:55,6000,415,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:58:00,6000,420,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:58:05,6000,425,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:58:10,6000,430,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:58:15,6000,435,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:58:20,6000,440,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:58:25,6000,445,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:58:30,6000,450,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:58:35,6000,455,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:58:40,6000,460,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:58:45,6000,465,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:58:50,6000,470,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:58:55,6000,475,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:59:00,6000,480,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:59:05,6000,485,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:59:10,6000,490,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:59:15,6000,495,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:59:20,6000,500,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:59:25,6000,505,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:59:30,6000,510,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:59:35,6000,515,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:59:40,6000,520,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:59:45,6000,525,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:59:50,6000,530,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,13:59:55,6000,535,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:00:00,6000,540,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:00:05,6000,545,462,0,0
