event_id,series,conservative_source,hydraulic_model,selection_reason,v_input_ms,v_ms,D_m2s,alpha_1s,As_over_A,hydraulic_rmse,params_at_bound,n_fit,n_pre_zeroed,logger_recovery
RA_20230906_N,logger,logger,v_fitted,dAICc = 165.0 > 2,0.03813559322033898,0.031762754489963636,0.0434186619570095,2.7946407198334083e-4,7.221814636708095,0.27831420815181834,,200,104,0.35243038529223697
RA_20230906_N,logger_rescaled,logger,v_fitted,dAICc = 90.0 > 2,0.03813559322033898,0.04061633707878512,0.0010854702485084858,9.966826367957516e-4,0.3061290861785712,0.11358677480168607,,200,104,0.35243038529223697
RA_20230906_N,probe_grab,probe_grab,v_fitted,dAICc = 44.0 > 2,0.03813559322033898,0.05048437108282429,0.0034745210073801117,0.0017000802016765076,0.6713006500403984,0.14658607453297584,,70,41,0.35243038529223697
RA_20230906_P,logger,logger,v_fitted,dAICc = 184.6 > 2,0.0375,0.03165402744283459,0.03168634762467091,1.856258580550498e-4,1.6125752508810725,0.2654235503624525,,200,106,0.6073248881356491
RA_20230906_P,logger_rescaled,logger,v_fitted,dAICc = 43.2 > 2,0.0375,0.03604931078482827,0.00722907461649222,4.491272796444548e-4,0.2551654407882874,0.16093513908994106,,200,106,0.6073248881356491
RA_20230906_P,probe_grab,probe_grab,v_fixed,dAICc = -1.3 <= 2,0.0375,0.0375,0.01763950540545685,6.026867419181771e-4,0.36593480840079035,0.14002102771724667,,26,4,0.6073248881356491
