event_id,solute,level,hi,overlap
CB_20230907_single,NH4-N,0.034577256498182184,0.1441908799131233,0.5515151531512272
CB_20230907_single,NH4-N,0.1035166506420856,0.5193546034264843,0.5515151531512272
CB_20230907_single,NH4-N,0.172456044785989,0.5848354877797852,0.5515151531512272
CB_20230907_single,NH4-N,0.2413954389298924,0.59995690440409,0.5515151531512272
CB_20230907_single,NH4-N,0.3103348330737958,0.5450167401746449,0.5515151531512272
CB_20230907_single,NH4-N,0.37927422721769916,0.5133536152199968,0.5515151531512272
CB_20230907_single,NH4-N,0.4482136213616026,0.4917487904995906,0.5515151531512272
CB_20230907_single,NH4-N,0.5171530155055061,0.4701439657791843,0.5515151531512272
CB_20230907_single,NH4-N,0.5860924096494095,0.4485391410587781,0.5515151531512272
CB_20230907_single,SRP,0.04870680107194245,-0.19319793491072554,0.9235047019116022
CB_20230907_single,SRP,0.16414488881089273,-0.0811632376777335,0.9235047019116022
CB_20230907_single,SRP,0.279582976549843,-0.5864166356103466,0.9235047019116022
CB_20230907_single,SRP,0.3950210642887933,-0.9789492369984565,0.9235047019116022
CB_20230907_single,SRP,0.5104591520277435,-0.9597272696249274,0.9235047019116022
CB_20230907_single,SRP,0.6258972397666939,-0.8677878635645697,0.9235047019116022
CB_20230907_single,SRP,0.7413353275056441,-0.5701989403248072,0.9235047019116022
CB_20230907_single,SRP,0.8567734152445944,-0.27394045702556974,0.9235047019116022
CB_20230907_single,SRP,0.9722115029835446,0.011461999382818187,0.9235047019116022
CB_20231008_single,NH4-N,0.004383185911228187,0.13211611302047196,0.4322569199083257
CB_20231008_single,NH4-N,0.0584153008997689,0.5160973480638291,0.4322569199083257
CB_20231008_single,NH4-N,0.11244741588830962,0.5461526599407067,0.4322569199083257
CB_20231008_single,NH4-N,0.16647953087685033,0.6562036684501392,0.4322569199083257
CB_20231008_single,NH4-N,0.22051164586539104,0.6283851472544979,0.4322569199083257
CB_20231008_single,NH4-N,0.27454376085393173,0.6645153585541436,0.4322569199083257
CB_20231008_single,NH4-N,0.32857587584247244,0.7017536950873055,0.4322569199083257
CB_20231008_single,NH4-N,0.38260799083101316,0.7310350959578784,0.4322569199083257
CB_20231008_single,NH4-N,0.43664010581955387,0.6379051137628399,0.4322569199083257
CB_20231008_single,SRP,0.004383185911228187,0.02040849287317492,0.4322569199083257
CB_20231008_single,SRP,0.0584153008997689,0.3432238939084496,0.4322569199083257
CB_20231008_single,SRP,0.11244741588830962,0.21524991709331873,0.4322569199083257
CB_20231008_single,SRP,0.16647953087685033,0.520388390047281,0.4322569199083257
CB_20231008_single,SRP,0.22051164586539104,0.600290608872509,0.4322569199083257
CB_20231008_single,SRP,0.27454376085393173,0.6265743583077625,0.4322569199083257
CB_20231008_single,SRP,0.32857587584247244,0.6282099920420579,0.4322569199083257
CB_20231008_single,SRP,0.38260799083101316,0.6415319509042132,0.4322569199083257
CB_20231008_single,SRP,0.43664010581955387,0.5762759935153503,0.4322569199083257
CC_20231006_single,NH4-N,NA,NA,0.029298717345422422
CC_20231006_single,SRP,NA,NA,0.029298717345422422
CD_20231009_single,NH4-N,0,0.3787537199026062,0.3467034418714577
CD_20231009_single,NH4-N,0.04333793023393221,0.5755615448742073,0.3467034418714577
CD_20231009_single,NH4-N,0.08667586046786442,0.6310150093514975,0.3467034418714577
CD_20231009_single,NH4-N,0.13001379070179664,0.7536021793463804,0.3467034418714577
CD_20231009_single,NH4-N,0.17335172093572884,0.8558360169691043,0.3467034418714577
CD_20231009_single,NH4-N,0.21668965116966105,0.6038904901413211,0.3467034418714577
CD_20231009_single,NH4-N,0.2600275814035933,0.43849041358948787,0.3467034418714577
CD_20231009_single,NH4-N,0.30336551163752545,0.45025385821051106,0.3467034418714577
CD_20231009_single,NH4-N,0.3467034418714577,0.45437480869950536,0.3467034418714577
CD_20231009_single,SRP,0,0.43830993278566105,0.3467034418714577
CD_20231009_single,SRP,0.04333793023393221,0.2930612178859491,0.3467034418714577
CD_20231009_single,SRP,0.08667586046786442,0.21369543669347713,0.3467034418714577
CD_20231009_single,SRP,0.13001379070179664,0.28648181428027303,0.3467034418714577
CD_20231009_single,SRP,0.17335172093572884,0.8370301161789842,0.3467034418714577
CD_20231009_single,SRP,0.21668965116966105,0.8041555346609811,0.3467034418714577
CD_20231009_single,SRP,0.2600275814035933,0.6668963941819205,0.3467034418714577
CD_20231009_single,SRP,0.30336551163752545,0.5903189385159817,0.3467034418714577
CD_20231009_single,SRP,0.3467034418714577,0.5322365269832365,0.3467034418714577
RA_20230906_N,NH4-N,0.05399698024290466,0.38710469731506253,0.847089236257468
RA_20230906_N,NH4-N,0.15988313477508817,0.308595782565284,0.847089236257468
RA_20230906_N,NH4-N,0.26576928930727167,0.4155673695657066,0.847089236257468
RA_20230906_N,NH4-N,0.37165544383945515,0.31839625322476434,0.847089236257468
RA_20230906_N,NH4-N,0.4775415983716387,0.36912578484621617,0.847089236257468
RA_20230906_N,NH4-N,0.5834277529038222,0.2466512834690759,0.847089236257468
RA_20230906_N,NH4-N,0.6893139074360056,-0.12283369617406964,0.847089236257468
RA_20230906_N,NH4-N,0.7952000619681892,0.13612330131921035,0.847089236257468
RA_20230906_N,NH4-N,0.9010862165003727,0.19884479325698945,0.847089236257468
RA_20230906_P,SRP,0.11893252638834925,-0.23591395620457195,0.8144204856187777
RA_20230906_P,SRP,0.22073508709069645,0.4842558937593416,0.8144204856187777
RA_20230906_P,SRP,0.32253764779304367,0.6885577315901983,0.8144204856187777
RA_20230906_P,SRP,0.4243402084953909,0.36199132451538363,0.8144204856187777
RA_20230906_P,SRP,0.5261427691977381,0.47955251983778135,0.8144204856187777
RA_20230906_P,SRP,0.6279453299000853,0.7586857090710604,0.8144204856187777
RA_20230906_P,SRP,0.7297478906024325,0.49823659445955354,0.8144204856187777
RA_20230906_P,SRP,0.8315504513047798,0.559331695223912,0.8144204856187777
