event_id,n,t_span_s,discharge_Ls,flag_discharge_invalid,flag_delta_ca_neg,flag_conc_corr_na_in_window,added_mass_PO4_g,molar_mass_P_nutrient,mass_srp_exported_ug,mass_p_coprec_ug,frac_mass_coprec,mass_P_added_g,pct_of_injectate_coprec,flag_insufficient_samples,flag_coprec_exceeds_injectate
SR_20231011_single,27,2010,4.429382893518156,FALSE,FALSE,FALSE,4.01,136.09,62081.65304402144,13799.888993385686,0.22228610735607074,0.9126665120141083,1.5120406864640565,FALSE,FALSE
CD_20231009_single,29,5020,49.60846943006239,FALSE,FALSE,FALSE,89,174.18,2580883.995474916,44641.66470058858,0.01729704426036163,15.826528981513377,0.2820685745606856,FALSE,FALSE
RA_20230906_P,21,5580,244.14934666078256,FALSE,FALSE,FALSE,276,136.086,6500253.690639192,52242.35947132753,0.008036972394871309,62.81879335126317,0.08316358319588295,FALSE,FALSE
RC_20231007_single,23,1310,501.39555270237736,FALSE,FALSE,FALSE,199,174.18,13017835.520900106,77361.58200356753,0.005942737706231092,35.38740749799058,0.21861330759525233,FALSE,FALSE
CC_20231006_single,19,1560,193.5273717472219,FALSE,FALSE,FALSE,199,174.18,6460134.680438175,23998.715155481255,0.0037148939368325186,35.38740749799058,0.0678171045924853,FALSE,FALSE
CB_20231008_single,29,3330,316.9115344244545,FALSE,FALSE,FALSE,349,174.18,16521599.571539847,51215.08660754819,0.0030998866898923902,62.06133274773223,0.08252334318331189,FALSE,FALSE
RS_20231011_single,21,2295,1099.1888991010203,FALSE,FALSE,FALSE,924,174.18,70691564.36445376,189659.4432351023,0.002682914785380953,164.31137953840854,0.11542684613074443,FALSE,FALSE
CB_20230907_single,13,2405,383.30226065174304,FALSE,TRUE,FALSE,355,174.18,196812070.55459687,-340841.0793893949,-0.0017318098347776057,63.128289757721895,-0.539918126560213,FALSE,FALSE
RA_20231005_downstream,28,7080,210.23082666068646,FALSE,FALSE,TRUE,295,136.086,NA,98944.60955573495,NA,67.14327550225592,0.14736339389997521,FALSE,FALSE
