event_id,solute,n_levels,limb_overlap,HI_mean,HI_max
CB_20231008_single,NH4-N,9,0.4322569199083257,0.5793515777879792,0.7310350959578784
CD_20231009_single,NH4-N,9,0.3467034418714577,0.5713086712316245,0.8558360169691043
RS_20231011_single,NH4-N,9,0.437384173277394,0.5711211141326759,0.6708883943418412
CD_20231009_single,SRP,9,0.3467034418714577,0.5180206569073849,0.8370301161789842
CB_20230907_single,SRP,9,0.9235047019116022,-0.49999106403936866,-0.9789492369984565
CB_20230907_single,NH4-N,9,0.5515151531512272,0.4796822364728531,0.59995690440409
RA_20230906_P,SRP,9,0.8144204856187777,0.47652649219842247,0.7586857090710604
CB_20231008_single,SRP,9,0.4322569199083257,0.46357262195156856,0.6415319509042132
SR_20231011_single,NH4-N,9,0.9635126777983921,0.27848190866677114,0.583383343139138
RA_20230906_N,NH4-N,9,0.847089236257468,0.25084172993202664,0.4155673695657066
RS_20231011_single,SRP,9,0.437384173277394,0.03627303628315301,0.05389938633008113
SR_20231011_single,SRP,9,0.9635126777983921,6.607092222800209e-4,0.31827598901353316
CC_20231006_single,NH4-N,0,0.029298717345422422,NA,NA
CC_20231006_single,SRP,0,0.029298717345422422,NA,NA
RA_20231005_downstream,NH4-N,0,0,NA,NA
RA_20231005_downstream,SRP,0,0,NA,NA
RC_20231007_single,NH4-N,0,-0.0032687635474138253,NA,NA
RC_20231007_single,SRP,0,-0.0032687635474138253,NA,NA
