event_id,model_version,conservative_source,hydraulics_borrowed_from,hydraulic_model,selection_reason,L_m,Q_m3s,v_input_ms,v_ms,A_m2,D_m2s,alpha_1s,As_m2,As_over_A,hydraulic_rmse,params_at_bound,n_fit,n_pre_zeroed,t_onset_s,n_gap_filled,aicc_v_fixed,aicc_v_fitted,d_aicc,vfixed_D,vfixed_alpha,vfixed_As_over_A,vfixed_rmse,vfitted_D,vfitted_alpha,vfitted_As_over_A,vfitted_v,vfitted_rmse
CB_20230907_single,exact_v1,logger,NA,v_fitted,dAICc = 27.7 > 2,162,0.38330226065174305,0.08165322580645161,0.09155368359285651,4.186639418642138,0.044313648088526836,0.0014868475646793928,1.2417485247741857,0.29659791556085924,0.25844354453931306,,153,48,1444,0,-378.11962218124575,-405.77159933681304,27.651977155567295,0.10006979745379413,5.291088973125502e-4,0.14980640163443398,0.28484239035093595,0.044313648088526836,0.0014868475646793928,0.29659791556085924,0.09155368359285651,0.25844354453931306
CB_20231008_single,exact_v1,logger,NA,v_fitted,dAICc = 34.0 > 2,162,0.31691153442445447,0.07431192660550459,0.07728199421714926,4.100716313479009,0.03845930173187935,8.147178578585176e-4,1.0456739438688423,0.2549978745010289,0.13713492300179805,,200,172,1720,0,-752.5361210065447,-786.5108711392771,33.974750132732424,0.054174818708427976,5.624872580203303e-4,0.20528147807029368,0.1500710508101612,0.03845930173187935,8.147178578585176e-4,0.2549978745010289,0.07728199421714926,0.13713492300179805
CC_20231006_single,exact_v1,logger,NA,v_fitted,dAICc = 76.5 > 2,184,0.1935273717472219,0.12602739726027398,0.13353540962874685,1.4492588316856465,0.024374934951759814,0.0016114527885399878,0.2726191653032451,0.18810936966046238,0.20558039809212494,,200,124,1240,0,-548.01552815768,-624.562107780921,76.54657962324097,0.05532255705039954,7.549862009719698e-4,0.1206658677673014,0.25023746727922763,0.024374934951759814,0.0016114527885399878,0.18810936966046238,0.13353540962874685,0.20558039809212494
CD_20231009_single,exact_v1,logger,NA,v_fitted,dAICc = 33.9 > 2,52,0.04960846943006239,0.03312101910828025,0.03754166011117872,1.3214244996930906,0.005423652270322953,0.0020104935028542057,0.6932910098809051,0.5246542727502982,0.33689820793963554,,200,116,1160,0,-393.0855281996415,-426.98465093436596,33.89912273472447,0.014157993984976795,0.0010210705500852356,0.3322918179310672,0.3686085850882412,0.005423652270322953,0.0020104935028542057,0.5246542727502982,0.03754166011117872,0.33689820793963554
RA_20230906_N,exact_v1,probe_grab,NA,v_fitted,dAICc = 44.0 > 2,135,0.22628812696176628,0.03813559322033898,0.05048437108282429,4.482340219521,0.0034745210073801117,0.0017000802016765076,3.0089979030666694,0.6713006500403984,0.14658607453297584,,70,41,2460,41,-216.2065197454709,-260.20456308644776,43.998043340976864,0.04822436967171834,3.8029863205242884e-4,0.3034051943674645,0.20396908732295732,0.0034745210073801117,0.0017000802016765076,0.6713006500403984,0.05048437108282429,0.14658607453297584
RA_20230906_P,exact_v1,probe_grab,NA,v_fixed,dAICc = -1.3 <= 2,135,0.24414934666078256,0.0375,0.0375,6.510649244287535,0.01763950540545685,6.026867419181771e-4,2.3824731837731097,0.36593480840079035,0.14002102771724667,,26,4,720,4,-95.1391497319874,-93.86814610999141,-1.2710036219959875,0.01763950540545685,6.026867419181771e-4,0.36593480840079035,0.14002102771724667,0.013785265356848236,7.137987544873938e-4,0.3955630889536421,0.038411121915760134,0.135927605640973
RA_20231005_downstream,exact_v1,probe_grab,NA,v_fixed,v_fitted: v at search bound,135,0.2102308266606865,0.01991150442477876,0.01991150442477876,10.558259294514476,0.19948815670127745,4.009616694758217e-4,0.01795893925425667,0.0017009375080973058,0.34274021533365606,,45,16,2880,17,-89.78505990940424,-189.22130911956302,99.43624921015878,0.19948815670127745,4.009616694758217e-4,0.0017009375080973058,0.34274021533365606,0.011138653481209081,0.0012244385505806043,0.7861117801339269,0.03982300884955753,0.11053102919846554
RC_20231007_single,exact_v1,logger,NA,v_fitted,dAICc = 3.1 > 2,150,0.5013955527023773,0.1724137931034483,0.17099055737495047,2.932299656775258,0.0436551963116918,0.001168386867868517,0.5952779956522621,0.20300721799589475,0.16362538466482054,,200,76,760,0,-712.8038486528409,-715.8651533397202,3.061304686879339,0.03857008682401487,0.0013010667396061422,0.2123118306162064,0.1657431887821167,0.0436551963116918,0.001168386867868517,0.20300721799589475,0.17099055737495047,0.16362538466482054
RS_20231011_single,exact_v1,logger,NA,v_fitted,dAICc = 99.5 > 2,408,1.0991888991010204,0.21139896373056996,0.24685843233977275,4.452709549690857,0.03952518478262916,0.0022260863096744813,1.7923321734231092,0.4025261817374878,0.1268646512622218,,200,156,1560,0,-718.1480862108288,-817.6486713624474,99.50058515161868,0.4031998563669099,6.908351808103404e-4,0.19648704308300965,0.16354348871701552,0.03952518478262916,0.0022260863096744813,0.4025261817374878,0.24685843233977275,0.1268646512622218
SA_20231010_single,exact_v1,logger,NA,v_fixed,dAICc = 1.1 <= 2,200,0.31636234655268874,0.08928571428571429,0.08928571428571429,3.5432582813901137,0.07769300217626247,5.025752100806079e-4,0.5202917485016555,0.14683991602710128,0.1493942735677731,,200,177,1770,0,-754.3440856408056,-755.4713651453734,1.1272795045678095,0.07769300217626247,5.025752100806079e-4,0.14683991602710128,0.1493942735677731,0.060000246321700645,7.391732918014272e-4,0.18459573808639895,0.09214056425901147,0.14820019751277708
SR_20231009_downstream,exact_v1,logger,NA,v_fitted,dAICc = 119.5 > 2,72,0.006131674478493041,0.028125,0.032145350857721196,0.19074840730880482,0.006072069850662694,0.001111195309216322,0.0737762275063402,0.38677244306896363,0.620769705736472,,200,190,1900,0,-62.98265387545378,-182.51291581609794,119.53026194064417,0.016757702858707296,3.9902117673297125e-4,0.20966060620928575,0.8413371924132702,0.006072069850662694,0.001111195309216322,0.38677244306896363,0.032145350857721196,0.620769705736472
