event_id,stream,solute,conc_col,fit_status,n_grabs,mass_injected_mg,background_ugL,n_gap_filled_uptake,gap_fill_dt_uptake_s,hydraulic_model,conservative_source,v_input_ms,v_ms,n_gap_filled_hydraulics,n_pre_zeroed_hydraulics,hydraulic_params_at_bound,D_m2s,alpha_1s,As_m2,A_m2,As_over_A,hydraulic_rmse,lambda_1s,lambda_s_1s,uptake_rmse,pct_total_uptake,pct_mainchannel,pct_storagezone,Sw_mainchannel_m,vf_mainchannel_mps,U_mainchannel_mgm2h,vf_storagezone_mps,U_storagezone_mgm2h,Sw_total_m,vf_total_mps,U_total_mgm2h,lambda_at_bound,lambda_s_at_bound,uptake_significant,correction,model_version,hydraulics_borrowed_from,d_aicc,flag_discharge_invalid,flag_mixing_incomplete,flag_no_baseline,flag_weak_signal,flag_broken_pairing
CB_20230907_single,CB,NH4-N,conc_corr_ugL,ok,12,51062.14129479726,33.03,7,180,v_fitted,logger,0.08165322580645161,0.09155368359285651,0,48,,0.044313648088526836,0.0014868475646793928,1.2417485247741857,4.186639418642138,0.29659791556085924,0.25844354453931306,1e-7,1.5263466969243328e-4,2.2017293786740058,7.53706213379474,0.23610655359359028,99.76389344640641,NA,5.402115378893082e-8,0.006423547354734186,2.4455983989674083e-5,2.9080121442441658,2079.184823780289,2.378737842228233e-5,2.8285095934367477,TRUE,FALSE,TRUE,raw,exact_v1,NA,27.651977155567295,FALSE,FALSE,FALSE,FALSE,FALSE
CB_20230907_single,CB,SRP,conc_corr_ugL,ok,13,63128.774830634975,5.83,11,120,v_fitted,logger,0.08165322580645161,0.09155368359285651,0,48,,0.044313648088526836,0.0014868475646793928,1.2417485247741857,4.186639418642138,0.29659791556085924,0.25844354453931306,1.0513799905995027e-4,1e-7,6.164659956355835,17.063645523557728,99.96906292366951,0.030937076330484033,870.7953776127325,5.6796760162780375e-5,1.1920504022964347,1.6022561609989493e-8,3.3628152307045947e-4,870.5497974161802,5.6812782404777e-5,1.1923866771114595,FALSE,TRUE,TRUE,raw,exact_v1,NA,27.651977155567295,FALSE,FALSE,FALSE,FALSE,FALSE
CB_20231008_single,CB,NH4-N,conc_corr_ugL,ok,29,47657.99854181077,6.127,24,60,v_fitted,logger,0.07431192660550459,0.07728199421714926,0,172,,0.03845930173187935,8.147178578585176e-4,1.0456739438688423,4.100716313479009,0.2549978745010289,0.13713492300179805,8.693607004270335e-5,0.002101518889852149,1.8995121412125429,57.80369460157352,25.331715823969038,74.66828417603097,888.9520101286846,4.6000020729531285e-5,1.0146316572354175,2.8354884460213774e-4,6.254293575158273,188.40320257697473,2.170441390282157e-4,4.787385983373159,FALSE,FALSE,TRUE,raw,exact_v1,NA,33.974750132732424,FALSE,FALSE,FALSE,FALSE,FALSE
CB_20231008_single,CB,SRP,conc_corr_ugL,ok,29,62061.80962222988,5.83,24,60,v_fitted,logger,0.07431192660550459,0.07728199421714926,0,172,,0.03845930173187935,8.147178578585176e-4,1.0456739438688423,4.100716313479009,0.2549978745010289,0.13713492300179805,5.293563524901626e-4,6.404847582391467e-4,1.2887136899394689,75.27618572148451,72.9241487194025,27.0758512805975,145.9923808481838,2.8009551358711674e-4,5.8786446391664064,8.641783524333037e-5,1.8137375260870177,116.14269855534125,3.5208249336477496e-4,7.389507370739897,FALSE,FALSE,TRUE,raw,exact_v1,NA,33.974750132732424,FALSE,FALSE,FALSE,FALSE,FALSE
CC_20231006_single,CC,NH4-N,conc_corr_ugL,ok,20,26709.427754201643,1.89,17,60,v_fitted,logger,0.12602739726027398,0.13353540962874685,0,124,,0.024374934951759814,0.0016114527885399878,0.2726191653032451,1.4492588316856465,0.18810936966046238,0.20558039809212494,1e-7,0.004309567665407095,4.255161306471597,52.48965250438439,0.026297740269710605,99.9737022597303,NA,4.665997526354303e-8,3.1747447169314677e-4,3.782584480879385e-4,2.5736704807903337,247.54284339223946,2.517042635812169e-4,1.7125958094065998,TRUE,FALSE,TRUE,raw,exact_v1,NA,76.54657962324097,FALSE,FALSE,FALSE,FALSE,FALSE
CC_20231006_single,CC,SRP,conc_corr_ugL,ok,19,35387.67941210242,6.7,18,60,v_fitted,logger,0.12602739726027398,0.13353540962874685,0,124,,0.024374934951759814,0.0016114527885399878,0.2726191653032451,1.4492588316856465,0.18810936966046238,0.20558039809212494,6.667757687786553e-4,0.006010574118277275,2.2815853538252466,84.03218436578153,50.05353729861844,49.94646270138157,200.27033956759703,3.111174087754194e-4,7.504151899663116,5.275588213515903e-4,12.724718771000358,100.31026713244457,6.211486708392111e-4,14.982105940641771,FALSE,FALSE,TRUE,raw,exact_v1,NA,76.54657962324097,FALSE,FALSE,FALSE,FALSE,FALSE
CD_20231009_single,CD,NH4-N,conc_corr_ugL,ok,30,12045.42820287525,4.46,13,60,v_fitted,logger,0.03312101910828025,0.03754166011117872,0,116,,0.005423652270322953,0.0020104935028542057,0.6932910098809051,1.3214244996930906,0.5246542727502982,0.33689820793963554,4.072240031649605e-4,1e-7,3.3454763811187314,43.24199066931473,99.98310318711201,0.016896812887988267,92.18921237305145,5.849084507013865e-5,0.9391290084461462,7.535771846531577e-9,1.2099435276791098e-4,92.17733685214343,5.849838064533836e-5,0.9392499996415526,FALSE,TRUE,TRUE,raw,exact_v1,NA,33.89912273472447,FALSE,FALSE,FALSE,FALSE,FALSE
CD_20231009_single,CD,SRP,conc_corr_ugL,ok,29,15826.65059134229,6.95,13,60,v_fitted,logger,0.03312101910828025,0.03754166011117872,0,116,,0.005423652270322953,0.0020104935028542057,0.6932910098809051,1.3214244996930906,0.5246542727502982,0.33689820793963554,0.0014931425607161188,1e-7,1.7812089288857365,87.35462083061051,99.99163579504135,0.008364204958663813,25.142716508712702,2.1446469144182148e-4,5.365906579874374,7.535771846531577e-9,1.8854501160022006e-4,25.141833108406697,2.144722270170212e-4,5.366095119965871,FALSE,TRUE,TRUE,raw,exact_v1,NA,33.89912273472447,FALSE,FALSE,FALSE,FALSE,FALSE
RA_20230906_N,RA,NH4-N,conc_corr_ugL,ok,29,39016.71309192201,9.29,41,60,v_fitted,probe_grab,0.03813559322033898,0.05048437108282429,41,41,,0.0034745210073801117,0.0017000802016765076,3.0089979030666694,4.482340219521,0.6713006500403984,0.14658607453297584,1e-7,1e-7,0.9229120433634783,0.04472701476246733,NA,NA,NA,4.738203191882664e-8,0.001584644675493238,3.180758882734323e-8,0.0010637730007416668,NA,7.91883648282469e-8,0.002648375673315889,TRUE,TRUE,FALSE,raw,exact_v1,NA,43.998043340976864,FALSE,FALSE,TRUE,FALSE,FALSE
RA_20230906_P,RA,SRP,conc_corr_ugL,ok,21,62819.276046029714,5.24,4,180,v_fixed,probe_grab,0.0375,0.0375,4,4,,0.01763950540545685,6.026867419181771e-4,2.3824731837731097,6.510649244287535,0.36593480840079035,0.14002102771724667,6.602951977593883e-4,1.5372274414906105e-4,0.739342886395725,92.24902129708217,84.20989592888857,15.790104071111436,56.79278014931892,4.5443450637408555e-4,8.57245252824075,3.871462110688716e-5,0.7303126125603194,52.68737048276292,4.898441272792536e-4,9.24041961699584,FALSE,FALSE,TRUE,raw,exact_v1,NA,-1.2710036219959875,FALSE,FALSE,FALSE,TRUE,FALSE
