label,M0,t_centroid,variance,skewness,t_peak,c_peak,D_eff_from_variance
exact,19911.179201038412,1984.0261388156587,51.86077674200757,0.010889086970188134,1984.9924962481239,1092.3507126068587,8.713929602618899e-5
numeric n=160,19890.2152222158,1983.9869305811612,24652.810303386344,0.15860992750326292,1972.586293146573,50.67008719464097,0.041422991899853
numeric n=320,19869.295183601258,1983.9869321053732,12352.33471320533,0.11250630383155874,1977.5487743871934,71.41593650339516,0.020755064208606414
numeric n=40,19905.934064421595,1983.986930577764,98455.66555198283,0.3164713952021673,1935.3676838419208,25.577052327486783,0.16543056091638428
numeric n=80,19900.69169061858,1983.9869305851807,49253.76206250027,0.22395562394985796,1960.1800900450223,35.96153021336506,0.08275884825479655
