event_id,stream,reach_length_m,discharge_Ls,water_velocity_ms,nacl_mass_g,discharge_source,flag_mixing_incomplete,flag_no_baseline,flag_weak_signal,M0,t_centroid,variance,skewness,t_peak,c_peak,Q_m3s,t_adv_s,ratio_tadv_tpeak,ratio_tadv_tcent,mass_recovery,D_num_n40,D_num_n120,D_fit,alpha_fit,As_fit,rmse_fit,fit_source,D_at_floor,Dnum40_over_Dfit,beta_fit,centroid_bias_pct
RS_20231011_single,RS,408,1099.1888991010203,0.21139896373056996,10448,logger,FALSE,FALSE,FALSE,9797.36938491951,2310.797828587309,269151.65837401693,1.053708947448286,1930,11.03351036634526,1.0991888991010204,1929.9999999999998,0.9999999999999999,0.8352093706007558,1.0307388656485181,1.0781347150259066,0.3593782383419689,NA,NA,NA,NA,NA,NA,NA,NA,NA
RC_20231007_single,RC,150,501.39555270237736,0.1724137931034483,4752,logger,FALSE,FALSE,FALSE,10119.918462035563,1067.2213626995244,100259.09493560756,3.0121651992361915,870,35.035500260232155,0.5013955527023773,869.9999999999999,0.9999999999999999,0.8152010729988993,1.0677782219224146,0.3232758620689655,0.10775862068965518,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC_20231006_single,CC,184,193.5273717472219,0.12602739726027398,4500,logger,FALSE,FALSE,FALSE,23957.22176150107,1634.9039505477288,77264.3089270832,1.0354879025498955,1460,49.092783706809094,0.1935273717472219,1460,1,0.8930188219992177,1.0303062581930338,0.28986301369863016,0.09662100456621006,NA,NA,NA,NA,NA,NA,NA,NA,NA
SA_20231010_single,SA,200,316.36234655268873,0.08928571428571429,3139,logger,FALSE,FALSE,FALSE,10278.557678743837,2601.935769011305,398680.072493957,1.866658692359284,2240,10.564953979526669,0.31636234655268874,2240,1,0.8608975004987017,1.0359186449265874,0.22321428571428573,0.0744047619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA
CB_20230907_single,CB,162,383.30226065174304,0.08165322580645161,7632,logger,FALSE,FALSE,FALSE,20198.925753138356,2283.6558043893046,319032.25035632256,0.5139905105875666,2044,19.07472294999584,0.38330226065174305,1984,0.9706457925636007,0.8687824129129483,1.014451507326342,0.1653477822580645,0.05511592741935484,0.0121046663830757,6.06034243084249e-4,0.772982450104605,0.431965713675695,logger,FALSE,13.659838034796872,0.16466511425081654,1.1840568194359191
CB_20231008_single,CB,162,316.9115344244545,0.07431192660550459,8275,logger,FALSE,FALSE,FALSE,27360.62556237684,2595.2764636390093,470819.08154770266,0.7798702777723706,2180,25.59193969003838,0.31691153442445447,2180,1,0.8399875814938333,1.0478426380405799,0.1504816513761468,0.050160550458715605,9.9678966315866e-5,6.03962101366505e-4,0.899040568280009,0.341799595945168,logger,TRUE,1509.6630406388401,0.21081415306239426,1.706885206938491
RA_20230906_N,RA,135,226.2881269617663,0.03813559322033898,6240,probe,FALSE,TRUE,FALSE,9779.113014391203,4293.874955120301,639396.8531944813,-0.10382769867800845,3619,6.450674501195578,0.22628812696176628,3540.0000000000005,0.9781707654048081,0.8244301562109232,0.3546309563099387,0.06435381355932203,0.021451271186440676,NA,NA,NA,NA,NA,NA,NA,NA,NA
RA_20230906_P,RA,135,244.14934666078256,0.0375,5957,probe,FALSE,FALSE,TRUE,14842.651319589644,4683.772411818507,1071019.1470940954,1.0982860990425254,3829,9.031892298978857,0.24414934666078256,3600,0.9401932619482893,0.7686112140966036,0.6083303042456965,0.06328125,0.021093749999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA
RA_20231005_downstream,RA,135,210.2308266606865,0.01991150442477876,5947,probe,FALSE,TRUE,FALSE,197.87855776366618,9633.611555115842,2390846.9047858873,-5.9673026333652395,9740,1.3828834514043689,0.2102308266606865,6780,0.6960985626283368,0.7037859022247521,0.006995152644540094,0.03360066371681416,0.011200221238938053,NA,NA,NA,NA,NA,NA,NA,NA,NA
SR_20231009_downstream,SR,72,6.131674478493041,0.028125,3101,logger,FALSE,FALSE,FALSE,511531.35094492254,3105.9536644594687,638153.5571398869,1.0263670327104457,2560,337.0527174105613,0.006131674478493041,2560,1,0.824223499948934,1.0114620217794417,0.0253125,0.0084375,NA,NA,NA,NA,NA,NA,NA,NA,NA
CD_20231009_single,CD,52,49.60846943006239,0.03312101910828025,1755,logger,FALSE,FALSE,FALSE,35509.454654055866,2079.1067441587998,626342.2164368188,0.416075812393866,1570,27.811255850704793,0.04960846943006239,1570.0000000000005,1.0000000000000002,0.7551319836804328,1.0037434163441123,0.02152866242038216,0.007176220806794054,NA,NA,NA,NA,NA,NA,NA,NA,NA
SR_20231009_upstream,SR,52,4.480034523911125,0.01672025723472668,3101,logger,FALSE,FALSE,FALSE,713064.9633897756,5784.570999896069,13815455.533089856,1.5530823962940754,3110,125.60964638758286,0.004480034523911125,3110.0000000000014,1.0000000000000004,0.5376371039539282,1.0301695110537301,0.010868167202572344,0.0036227224008574476,NA,NA,NA,NA,NA,NA,NA,NA,NA
RA_20231005_upstream,RA,135,NA,NA,5947,NA,TRUE,FALSE,FALSE,39450.798694212725,418.96079628444875,233048.27344476257,13.772942249530335,360,619.556919132389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
