series,window,M0,t_centroid,variance,skewness,t_peak,c_peak,mass_recovery
observed (clamped >= 0),observed,20198.925753138356,2283.6558043893046,319032.25035632256,0.5139905105875666,2044,19.07472294999584,1.014451507326342
observed (raw),observed,20198.925753138356,2283.6558043893046,319032.25035632256,0.5139905105875666,2044,19.07472294999584,1.014451507326342
"observed, pre-arrival zeroed",observed,19577.727296889097,2326.4198798971165,266415.31154490396,1.1096638312471427,2044,19.07472294999584,0.9832530308334552
"pipeline fit, n=40",observed,19888.810237154266,2291.483696454674,248698.8777020252,0.7705637603764973,2102.9449081803004,17.548705127616856,0.9988765625753092
"pipeline fit, n=40",full horizon,19905.934064521538,2293.697647624438,254253.28041979077,0.8508896084989349,2099.5968992248063,17.548835798230353,0.999736573285593
"pipeline params, n=160",full horizon,19890.215226851524,2293.697647851972,155609.91349502615,1.2886561659875955,2067.84496124031,26.54932472352337,0.9989471254326404
