n_cells,dx_m,D_num_m2s,D_fit_m2s,D_num_over_fit,cell_Peclet,D_eff_m2s
40,4.05,0.1653477822580645,8.7137e-5,1897.5611078883196,3795.122215776639,0.1654349192580645
80,2.025,0.08267389112903226,8.7137e-5,948.7805539441598,1897.5611078883196,0.08276102812903226
120,1.35,0.05511592741935484,8.7137e-5,632.5203692961065,1265.040738592213,0.05520306441935484
160,1.0125,0.04133694556451613,8.7137e-5,474.3902769720799,948.7805539441598,0.04142408256451613
320,0.50625,0.020668472782258064,8.7137e-5,237.19513848603995,474.3902769720799,0.020755609782258065
